,MSA,AbsoluteTotal,Geographical Area,State,Population,Housing  units,AreaSqMiles,DensitySqMile,TotalPerCapita
130,Wausau,1567572.724,"      Wausau, WI MSA",WI,125834,50360,1576.14,81.4,12.45746558
42,Florence,5283930.543,"      Florence, SC MSA",SC,125761,51836,803.74,157.2,42.01565305
220,Glens Falls,534095.838,"      Glens Falls, NY MSA",NY,124345,61646,1777.5,72.9,4.29527394
57,Rochester,4227884.423,"      Rochester, MN MSA",MN,124277,49422,654.5,190.3,34.01984617
187,Albany,849188.185,"      Albany, GA MSA",GA,120822,48469,696.65,176.3,7.02842351
257,Bloomington,320878.869,"      Bloomington, IN MSA",IN,120563,50846,411.32,305.7,2.66150368
243,Sharon,399554.173,"      Sharon, PA MSA",PA,120293,49859,682.57,179.1,3.32150809
254,Williamsport,346582.946,"      Williamsport, PA MSA",PA,120044,52464,1243.77,97.2,2.88713260
251,Muncie,376336.943,"      Muncie, IN MSA",IN,118769,51032,395.92,302,3.16864622
230,Grand Junction,472127.483,"      Grand Junction, CO MSA",CO,116255,48427,3341.11,34.9,4.06113701
239,Auburn-Opelika,416117.787,"      Auburn--Opelika, AL MSA",AL,115092,50329,615.55,189.1,3.61552312
222,Lawton,530833.359,"      Lawton, OK MSA",OK,114996,45416,1083.82,107.5,4.61610281
151,Decatur,1266335.653,"      Decatur, IL MSA",IL,114706,50241,585.38,197.6,11.03983796
189,Goldsboro,844100.462,"      Goldsboro, NC MSA",NC,113329,47313,556.69,205.1,7.44823004
124,Sheboygan,1758643.552,"      Sheboygan, WI MSA",WI,112646,45947,1270.97,219.3,15.61212606
232,Anniston,466962.819,"      Anniston, AL MSA",AL,112249,51322,612.32,184.5,4.16006217
169,Hattiesburg,989369.712,"      Hattiesburg, MS MSA",MS,111674,45346,970.66,115.9,8.85944546
256,Iowa City,334784.838,"      Iowa City, IA MSA",IA,111006,45831,623.35,180.7,3.01591660
258,Sherman-Denison,318173.816,"      Sherman--Denison, TX MSA",TX,110595,48315,979.19,118.5,2.87692768
260,Danville,297211.536,"      Danville, VA MSA",VA,110156,51119,1022.11,108.7,2.69809666
98,Jackson,2310899.781,"      Jackson, TN MSA",TN,107377,44383,847.37,127,21.52136660
261,Sumter,285835.488,"      Sumter, SC MSA",SC,104646,41751,682.03,157.3,2.73145163
252,San Angelo,375540.910,"      San Angelo, TX MSA",TX,104010,43916,1540.54,68.3,3.61062311
250,Kankakee,378035.722,"        Kankakee, IL PMSA",IL,103833,40610,681.44,153.4,3.64080516
237,Gadsden,422519.919,"      Gadsden, AL MSA",AL,103459,45959,548.75,193.4,4.08393585
224,St. Joseph,511469.623,"      St. Joseph, MO MSA",MO,102490,43236,851.07,121.3,4.99043442
245,Kokomo,386438.050,"      Kokomo, IN MSA",IN,101541,44452,554.34,183.5,3.80573413
,,767771494.014,,,,,,,
