dt,sensor,lux,con,spl
2016-06-26 12:00:00,sensor_0,5088.25,2862.50375,83.8970004336
2016-06-26 12:00:00,sensor_2,6324.0,2057.1475,77.6767627396
2016-06-26 12:00:00,sensor_3,4061.625,2297.36,81.9061963007
2016-06-26 12:00:00,sensor_4,22047.875,2434.5775,76.6606287649
2016-06-26 16:00:00,sensor_0,16427.375,3342.08,82.3825861548
2016-06-26 16:00:00,sensor_2,3129.25,2331.305,74.5034821538
2016-06-26 16:00:00,sensor_3,3548.5,2140.6125,76.6621295008
2016-06-26 16:00:00,sensor_4,9120.875,2466.6425,75.083702214
2016-06-26 20:00:00,sensor_0,193.0,2821.91125,74.3197621077
2016-06-26 20:00:00,sensor_2,132.625,1676.8875,73.0637265123
2016-06-26 20:00:00,sensor_3,91.625,1788.09,73.8369104951
2016-06-26 20:00:00,sensor_4,277.625,2724.10875,70.4882500544
2016-06-27 00:00:00,sensor_0,0.0,2570.56125,71.2067601314
2016-06-27 00:00:00,sensor_2,0.0,2037.58625,70.3715159382
2016-06-27 00:00:00,sensor_3,0.0,1873.90375,73.8313687375
2016-06-27 00:00:00,sensor_4,0.0,2788.3,70.1535974133
2016-06-27 04:00:00,sensor_0,3384.25,3148.09875,73.5544721058
2016-06-27 04:00:00,sensor_2,3442.375,2076.255,71.4407826848
2016-06-27 04:00:00,sensor_3,627.25,1751.15375,80.1121749321
2016-06-27 04:00:00,sensor_4,3462.875,2716.1025,71.2706747418
2016-06-27 08:00:00,sensor_0,22738.125,2693.875,79.3434345681
2016-06-27 08:00:00,sensor_2,15645.375,2651.1875,74.5271727099
2016-06-27 08:00:00,sensor_3,2776.875,2462.49375,78.7199519347
2016-06-27 08:00:00,sensor_4,10109.125,2618.305,72.7816939641
2016-06-27 12:00:00,sensor_0,28065.75,3524.3525,84.3042260866
2016-06-27 12:00:00,sensor_2,10008.125,2956.91625,75.3282881927
2016-06-27 12:00:00,sensor_3,5855.0,3061.90375,79.731265561
2016-06-27 12:00:00,sensor_4,32921.5,3757.48875,78.1309570638
2016-06-27 16:00:00,sensor_0,19750.75,4123.045,85.0958381948
2016-06-27 16:00:00,sensor_2,6128.75,3402.76375,74.1812036805
2016-06-27 16:00:00,sensor_3,4665.75,3708.8075,77.1304076473
2016-06-27 16:00:00,sensor_4,14284.0,4246.49625,76.899772974
2016-06-27 20:00:00,sensor_0,44.0,42612.265,76.7660539633
2016-06-27 20:00:00,sensor_2,32.0,2918.4875,71.075436405
2016-06-27 20:00:00,sensor_3,16.5,2412.955,78.9664601917
2016-06-27 20:00:00,sensor_4,64.125,3656.21125,73.5042522753
2016-06-28 00:00:00,sensor_0,0.0,3011.03625,71.5012252678
2016-06-28 00:00:00,sensor_2,0.0,2266.00625,70.7393366212
2016-06-28 00:00:00,sensor_3,3.5,2075.565,75.0667554186
2016-06-28 00:00:00,sensor_4,0.0,2709.67625,70.6513528305
2016-06-28 04:00:00,sensor_0,67.5,2623.94625,74.8278537032
2016-06-28 04:00:00,sensor_2,1504.625,2170.49375,71.7609032045
2016-06-28 04:00:00,sensor_3,681.875,1899.29625,77.1218110072
2016-06-28 04:00:00,sensor_4,2957.875,2427.27,71.2743033743
2016-06-28 08:00:00,sensor_0,0.0,3482.635,74.8278537032
2016-06-28 08:00:00,sensor_2,6574.5,2416.54625,74.5271272731
2016-06-28 08:00:00,sensor_3,2726.25,2602.60375,81.5500922404
2016-06-28 08:00:00,sensor_4,13596.5,3506.54625,72.2638996388
2016-06-28 12:00:00,sensor_0,10434.0,2960.315,77.8764005203
2016-06-28 12:00:00,sensor_2,16275.125,2425.57125,75.2414838448
2016-06-28 12:00:00,sensor_3,8026.125,2792.0825,78.1317315028
2016-06-28 12:00:00,sensor_4,35022.125,3118.32625,74.1697261524
2016-06-28 16:00:00,sensor_0,13774.375,10970.135,75.2139568071
2016-06-28 16:00:00,sensor_2,7245.125,2159.825,73.2040985191
2016-06-28 16:00:00,sensor_3,3732.5,2220.485,79.5049999583
2016-06-28 16:00:00,sensor_4,15266.25,2289.18875,74.4864430538
2016-06-28 20:00:00,sensor_0,67.5,2165.5275,64.5654755433
2016-06-28 20:00:00,sensor_2,57.875,1932.4075,70.0283276108
2016-06-28 20:00:00,sensor_3,21.625,2008.04,75.2646721887
2016-06-28 20:00:00,sensor_4,113.125,3561.375,71.56478064
2016-06-29 00:00:00,sensor_0,0.0,2523.52625,70.0896037821
2016-06-29 00:00:00,sensor_2,0.0,1818.99125,70.1684326565
2016-06-29 00:00:00,sensor_3,0.0,1872.82375,73.7117011918
2016-06-29 00:00:00,sensor_4,0.0,2089.77,69.6244700474
2016-06-29 04:00:00,sensor_0,5655.375,10369.65375,75.0230504489
2016-06-29 04:00:00,sensor_2,3370.0,2011.4,71.5329165002
2016-06-29 04:00:00,sensor_3,534.125,2208.00625,77.7058100096
2016-06-29 04:00:00,sensor_4,3239.625,2674.9575,70.4887498883
2016-06-29 08:00:00,sensor_0,33249.25,2930.27,73.3228346548
2016-06-29 08:00:00,sensor_2,31263.75,2135.48125,75.4362515644
2016-06-29 08:00:00,sensor_3,3850.0,4500.1025,80.2752161104
2016-06-29 08:00:00,sensor_4,37083.625,2521.87,73.0291553284
2016-06-29 12:00:00,sensor_0,1222.2,1895.61,74.340666786
2016-06-29 12:00:00,sensor_2,9872.0,6415.7025,75.3565459201
2016-06-29 12:00:00,sensor_3,5028.0,7042.19375,80.1702587207
2016-06-29 12:00:00,sensor_4,30427.375,4818.005,72.9068911857
2016-06-29 16:00:00,sensor_0,0.0,1920.22125,71.5012252678
2016-06-29 16:00:00,sensor_2,3026.75,2208.6025,77.2577715806
2016-06-29 16:00:00,sensor_3,3557.625,2289.36875,79.3876695744
2016-06-29 16:00:00,sensor_4,10334.125,2248.785,74.9879820965
2016-06-29 20:00:00,sensor_0,101.25,2195.10375,67.5338721925
2016-06-29 20:00:00,sensor_2,79.0,1800.59875,71.8732654867
2016-06-29 20:00:00,sensor_3,74.375,1893.1775,74.8858959122
2016-06-29 20:00:00,sensor_4,281.125,2334.37875,73.7328196664
2016-06-30 00:00:00,sensor_0,10792.625,2407.35625,75.762721774
2016-06-30 00:00:00,sensor_2,0.0,1802.66375,73.1630775766
2016-06-30 00:00:00,sensor_3,0.0,1854.5425,74.9760146729
2016-06-30 00:00:00,sensor_4,0.0,1976.6625,71.2714538439
2016-06-30 04:00:00,sensor_0,15413.75,2020.09875,75.8509041521
2016-06-30 04:00:00,sensor_2,1867.625,2012.52125,73.1185701243
2016-06-30 04:00:00,sensor_3,455.75,2029.2375,77.8458141163
2016-06-30 04:00:00,sensor_4,2312.5,2310.82625,70.486940515
2016-06-30 08:00:00,sensor_0,34419.5,2908.5325,78.7984962652
2016-06-30 08:00:00,sensor_2,13717.25,2819.79,76.9344624448
2016-06-30 08:00:00,sensor_3,1237.0,2179.77875,82.3755324531
2016-06-30 08:00:00,sensor_4,4769.75,2551.85875,72.1293364413
2016-06-30 12:00:00,sensor_0,4582.625,3239.755,78.9225825133
2016-06-30 12:00:00,sensor_2,4150.0,2137.30625,77.1520718118
2016-06-30 12:00:00,sensor_3,3692.0,2019.905,80.6386366584
2016-06-30 12:00:00,sensor_4,24217.5,2658.31625,72.5254521279
2016-06-30 16:00:00,sensor_0,0.0,2553.5475,75.1190281066
2016-06-30 16:00:00,sensor_2,2712.75,1867.78125,78.2619313196
2016-06-30 16:00:00,sensor_3,3328.375,1995.11125,82.2903496526
